fauteuils;entrees_2020;entrees_2019;proprietaire;part des seances de films Art et Essai;latitude;longitude;num_auto;region_administrative;code_INSEE;population_de_la_commune;departement;num_UU;unite_urbaine;population_unite_urbaine;situation_geographique;ecrans;semaines_d_activite;seances;evolution_entrees;tranche_d_entrees;categorie_Art_et_Essai;label_Art_et_Essai;zone_de_la_commune;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;PdM_en_entrees_des_films_francais;PdM_en_entrees_des_films_americains;PdM_en_entrees_des_films_europeens;PdM_en_entrees_des_autres_films;films_Art_et_Essai;PdM_en_entrees_des_films_Art_et_Essai
1666;81 917;412 142;UGC SAS;30,1;48.873073;2.298394;12;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;01-Paris;11;11;5 033;-0,8;De 80 à 100 000 entrées;NON;;C;79;44;39;38;46,5;14;1,6;37;29,1
1610;75 648;202 673;UGC SAS;57,6;48.872265;2.300938;31;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;01-Paris;4;31;3 360;-0,6;De 50 à 80 000 entrées;NON;;C;80;47;39;41,1;36;19,2;3,7;43;52,8
589;45 293;118 069;CINELBA;82,8;48.872431;2.299525;35;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;01-Paris;3;29;2 389;-0,6;De 40 à 50 000 entrées;A;RD;C;102;43;28;61;4;19,6;15,4;76;81,3
1597;80 996;277 795;LES CINEMAS PATHE GAUMONT;23,6;48.869654;2.306873;54;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;01-Paris;6;31;5 341;-0,7;De 80 à 100 000 entrées;NON;;C;99;65;61;24,3;59,4;14,7;1,7;24;22
448;19 379;49 579;STUDIO DU DRAGON;88,7;48.870512;2.303157;55;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;01-Paris;3;29;2 742;-0,6;De 10 à 20 000 entrées;A;RD;C;75;59;53;48,8;5,6;26,4;19,2;61;87,6
760;55 232;178 752;UGC SAS;49,2;48.871332;2.335302;204;ILE-DE-FRANCE;75109;59408;75;851;Paris;10706072;01-Paris;4;31;3 422;-0,7;De 50 à 80 000 entrées;NON;;C;64;41;41;47,2;42,3;10,5;0;33;53,3
591;37 409;421 267;PARAFRANCE COMMUNICATION;50,8;48.871363;2.344886;301;ILE-DE-FRANCE;75109;59408;75;851;Paris;10706072;01-Paris;1;31;852;-0,9;De 30 à 40 000 entrées;A;;C;80;12;8;7;50;35,6;7,5;64;53,7
4274;148 381;123 832;THEATRE LE REX;12,8;48.86872;2.347608;311;ILE-DE-FRANCE;75102;20796;75;851;Paris;10706072;01-Paris;7;29;5 026;0,2;De 100 à 150 000 entrées;NON;;C;246;56;52;16,4;55,9;17,1;10,7;81;16,5
1138;123 537;736 722;GAUMONT;51,4;48.870632;2.334338;321;ILE-DE-FRANCE;75102;20796;75;851;Paris;10706072;01-Paris;6;31;5 355;-0,8;De 100 à 150 000 entrées;NON;;C;90;63;59;36,8;37,7;22,7;2,9;47;47,9
1592;124 223;356 071;UGC SAS;35,1;48.84351;2.325646;451;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;01-Paris;7;31;6 061;-0,7;De 100 à 150 000 entrées;NON;;C;101;68;63;43,6;38,3;15,7;2,4;45;39,6
2876;283 901;409 922;PARAFRANCE COMMUNICATION;42,9;48.843074;2.324424;481;ILE-DE-FRANCE;75114;139992;75;851;Paris;10706072;01-Paris;15;31;14 053;-0,3;De 200 à 300 000 entrées;NON;;C;222;173;164;42,9;37,7;15,2;4,1;91;41,8
250;19 479;963 224;MANUFACTURE A FILMS;74,4;48.83393;2.31652;483;ILE-DE-FRANCE;75114;139992;75;851;Paris;10706072;01-Paris;3;31;2 211;-1;De 10 à 20 000 entrées;A;RDJP;C;210;76;18;45,3;20;15,2;19,6;159;84,7
557;129 665;35 866;MK2 CINEMAS;84,3;48.861555;2.352217;531;ILE-DE-FRANCE;75103;35049;75;851;Paris;10706072;01-Paris;6;31;7 786;2,6;De 100 à 150 000 entrées;A;RDPR;C;98;68;61;55,9;13,7;10,6;19,8;80;89,6
764;50 265;305 715;PARAFRANCE COMMUNICATION;54,3;48.878512;2.282965;612;ILE-DE-FRANCE;75117;168533;75;851;Paris;10706072;01-Paris;4;31;3 134;-0,8;De 50 à 80 000 entrées;NON;;C;95;64;45;52,6;29,8;14,4;3,1;57;54,3
510;60 802;169 342;LES CINEMAS PATHE GAUMONT;80,1;48.852188;2.342788;721;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;01-Paris;4;31;4 851;-0,6;De 50 à 80 000 entrées;A;RD;C;79;64;41;58,5;7,1;19,2;15,2;61;84,3
678;101 335;145 188;PARAFRANCE COMMUNICATION;68,4;48.852437;2.338266;731;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;01-Paris;5;31;5 946;-0,3;De 100 à 150 000 entrées;NON;;C;67;62;58;55,9;24,3;13,3;6,4;48;68,8
97;7 337;272 449;STUDIO GALANDE BERUCHET;81;48.851619;2.347076;733;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;01-Paris;1;29;631;-1;De 5 à 10 000 entrées;A;;C;107;58;5;42,1;15,9;36,5;5,5;81;83,9
334;33 324;20 644;CINEPOQUE;88,3;48.84824;2.340797;741;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;01-Paris;3;31;2 367;0,6;De 30 à 40 000 entrées;A;RD;C;157;50;18;50,5;20,4;16,9;12,2;131;91,2
510;18 589;77 832;SOCIETE CINEMA SAINT ANDRE DES ARTS;68;48.853361;2.34211;751;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;01-Paris;3;29;2 935;-0,8;De 10 à 20 000 entrées;A;;C;163;56;28;64,8;10,4;9;15,8;117;60
250;27 111;52 629;MK2 CINEMAS;73,7;48.842813;2.330525;801;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;01-Paris;3;31;3 137;-0,5;De 20 à 30 000 entrées;A;;C;149;84;2;48,8;18;5,4;27,8;126;80,9
454;39 046;68 457;UGC SAS;74,9;48.842318;2.328975;802;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;01-Paris;3;31;2 468;-0,4;De 30 à 40 000 entrées;NON;;C;67;37;31;46,6;15,7;21;16,7;45;77,9
