fauteuils;entrees_2018;entrees_2017;proprietaire;part des seances de films Art et Essai;latitude;longitude;num_auto;region_administrative;code_INSEE;population_de_la_commune;departement;num_UU;unite_urbaine;population_unite_urbaine;situation_geographique;ecrans;semaines_d_activite;seances;evolution_entrees;tranche_d_entrees;categorie_Art_et_Essai;label_Art_et_Essai;zone_de_la_commune;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;PdM_en_entrees_des_films_francais;PdM_en_entrees_des_films_americains;PdM_en_entrees_des_films_europeens;PdM_en_entrees_des_autres_films;films_Art_et_Essai;PdM_en_entrees_des_films_Art_et_Essai
1666;436 900;510 639;UGC;32;48.873073;2.298394;12;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;Paris;11;53;24 370;-14,40%;De 300 à 450 000 entrées;non classé;;commune-centre;248;211;165;41,7;38,5;18,6;1,3;95;32,7
1610;227 948;256 387;UGC;57,1;48.872265;2.300938;31;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;Paris;4;53;8 060;-11,10%;De 200 à 300 000 entrées;non classé;;commune-centre;93;86;77;35;41,3;21;2,7;50;48,7
589;107 868;116 603;CINELBA (Henochsberg à 50 %);95,7;48.872431;2.299525;35;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;Paris;3;53;4 624;-7,50%;De 100 à 150 000 entrées;catégorie A;RD;commune-centre;169;65;52;57,6;8,5;12,9;21;123;94,4
1701;277 363;326 707;Les cinemas GAUMONT-PATHE;12,9;48.869654;2.306873;54;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;Paris;6;53;12 116;-15,10%;De 200 à 300 000 entrées;non classé;;commune-centre;144;107;97;20,4;65,9;12,8;0,9;24;11,8
448;53 665;57 077;MULTICINE;94,3;48.870512;2.303157;55;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;Paris;3;53;5 582;-6,00%;De 50 à 80 000 entrées;catégorie A;RD;commune-centre;146;96;82;41,7;7,3;19,4;31,6;113;94,7
994;177 634;240 660;Les cinemas GAUMONT-PATHE;48;48.871048;2.334386;202;ILE-DE-FRANCE;75109;59408;75;851;Paris;10706072;Paris;5;46;8 741;-26,20%;De 150 à 200 000 entrées;non classé;;commune-centre;147;134;79;85,3;6,3;6,7;1,7;72;42
760;168 084;181 750;UGC;41,9;48.871332;2.335302;204;ILE-DE-FRANCE;75109;59408;75;851;Paris;10706072;Paris;4;53;7 439;-7,50%;De 150 à 200 000 entrées;non classé;;commune-centre;110;71;71;37,5;40,6;20,4;1,5;61;43
2169;502 385;537 993;Les cinemas GAUMONT-PATHE;15,7;48.871044;2.33361;214;ILE-DE-FRANCE;75109;59408;75;851;Paris;10706072;Paris;7;53;14 664;-6,60%;De 450 à 700 000 entrées;non classé;;commune-centre;216;190;107;18,6;60,4;20,2;0,8;78;13,1
591;97 343;116 133;EDEN PLUS;64,8;48.871363;2.344886;301;ILE-DE-FRANCE;75109;59408;75;851;Paris;10706072;Paris;1;52;1 510;-16,20%;De 80 à 100 000 entrées;non classé;;commune-centre;119;26;15;18,1;48,9;24,7;8,3;70;64,2
4274;624 717;636 078;THEATRE LE REX;3,7;48.86872;2.347608;311;ILE-DE-FRANCE;75102;20796;75;851;Paris;10706072;Paris;7;53;12 079;-1,80%;De 450 à 700 000 entrées;non classé;;commune-centre;191;116;108;10,4;69,9;16,2;3,6;18;2,5
1138;299 603;309 708;Les cinemas GAUMONT-PATHE;75,6;48.870632;2.334338;321;ILE-DE-FRANCE;75102;20796;75;851;Paris;10706072;Paris;6;53;11 837;-3,30%;De 200 à 300 000 entrées;non classé;;commune-centre;212;186;133;38;27;25,1;9,9;132;75,1
1592;426 973;474 927;UGC;23,1;48.84351;2.325646;451;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;7;53;14 006;-10,10%;De 300 à 450 000 entrées;non classé;;commune-centre;152;121;114;34,7;47,6;17,5;0,2;49;25,8
2876;937 498;974 363;Les cinemas GAUMONT-PATHE;33,8;48.843074;2.324424;481;ILE-DE-FRANCE;75114;139992;75;851;Paris;10706072;Paris;15;53;32 407;-3,80%;De 700 000 à 1 million d'entrées;non classé;;commune-centre;343;307;299;36,9;43,4;17,6;2,1;137;32,2
250;31 244;40 039;L'ENTREPOT;88,9;48.83393;2.31652;483;ILE-DE-FRANCE;75114;139992;75;851;Paris;10706072;Paris;3;53;4 582;-22,00%;De 30 à 40 000 entrées;catégorie A;RDJPPR;commune-centre;305;104;5;70,7;5,5;17,6;6,2;252;92,4
557;289 481;308 078;MK2;96,2;48.861555;2.352217;531;ILE-DE-FRANCE;75103;35049;75;851;Paris;10706072;Paris;6;53;13 892;-6,00%;De 200 à 300 000 entrées;catégorie A;RDPR;commune-centre;242;131;113;56,3;10,5;17;16,2;186;98
764;156 969;163 143;UGC;47,6;48.878512;2.282965;612;ILE-DE-FRANCE;75117;168533;75;851;Paris;10706072;Paris;4;53;7 317;-3,80%;De 150 à 200 000 entrées;non classé;;commune-centre;168;120;80;53,8;28,1;16,1;2;107;48
690;156 926;167 577;MK2;89,2;48.852188;2.342788;721;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;4;53;8 292;-6,40%;De 150 à 200 000 entrées;non classé;;commune-centre;162;121;63;56,1;7,6;23;13,3;138;90,3
815;247 146;274 191;MK2;70;48.852437;2.338266;731;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;5;53;9 420;-9,90%;De 200 à 300 000 entrées;non classé;;commune-centre;120;114;109;49,2;21,9;22,3;6,6;80;74,1
97;19 974;21 724;STUDIO GALANDE;79;48.851619;2.347076;733;ILE-DE-FRANCE;75105;59333;75;851;Paris;10706072;Paris;1;53;1 747;-8,10%;De 10 à 20 000 entrées;catégorie A;;commune-centre;243;170;9;43,8;9,8;43,6;2,8;191;85,2
334;79 314;66 682;CINEPOQUE;85,3;48.84824;2.340797;741;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;3;53;5 171;19%;De 50 à 80 000 entrées;catégorie A;RD;commune-centre;244;109;38;64;9,3;15,4;11,3;195;87,8
510;55 200;57 584;SOCIETE CINEMA SAINT ANDRE DES ARTS;79;48.853361;2.34211;751;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;3;53;5 500;-4,10%;De 50 à 80 000 entrées;catégorie A;PR;commune-centre;415;158;57;51,3;13,7;24,4;10,6;314;78,7
284;67 422;60 161;MK2;66,3;48.842813;2.330525;801;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;3;53;6 180;12%;De 50 à 80 000 entrées;non classé;;commune-centre;194;140;16;49;20,3;19;11,7;140;66,7
454;110 333;119 524;UGC;81,1;48.842318;2.328975;802;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;3;53;6 036;-7,70%;De 100 à 150 000 entrées;non classé;;commune-centre;95;57;48;54,4;13;23,2;9,4;79;83,7
1020;53 710;64 180;RADWANSKY-RYTMANN;4,7;48.843752;2.324925;803;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;2;53;4 103;-16,30%;De 50 à 80 000 entrées;non classé;;commune-centre;33;29;29;0;76,7;23,3;0;2;6,6
148;49 018;53 908;LE LUCERNAIRE FORUM;80,4;48.844244;2.330407;814;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;3;53;5 408;-9,10%;De 40 à 50 000 entrées;catégorie A;PR;commune-centre;246;168;16;52,2;19,3;15,7;12,8;201;78,9
842;213 310;223 281;MULTICINE;98,5;48.842443;2.327625;821;ILE-DE-FRANCE;75114;139992;75;851;Paris;10706072;Paris;7;53;13 825;-4,50%;De 200 à 300 000 entrées;catégorie A;RD;commune-centre;197;133;124;61,1;5,1;16,7;17,1;181;98,7
234;49 143;47 751;TRIOMPH CINEMA;95,2;48.854455;2.340132;883;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;2;53;3 386;3%;De 40 à 50 000 entrées;catégorie A;PR;commune-centre;332;4;0;13,3;61,2;17,7;7,7;280;92,9
252;16 916;27 218;HENOCHSBERG;92,4;48.85467;2.333052;891;ILE-DE-FRANCE;75106;42428;75;851;Paris;10706072;Paris;1;31;834;-37,80%;De 10 à 20 000 entrées;catégorie A;;commune-centre;35;20;11;37,7;14,7;42,4;5,2;29;93,2
609;64 507;67 469;DRUGSTORE CHAMPS ELYSEES;44,1;48.872794;2.296984;1031;ILE-DE-FRANCE;75108;36694;75;851;Paris;10706072;Paris;2;53;3 511;-4,40%;De 50 à 80 000 entrées;non classé;;commune-centre;264;141;62;21,9;29,3;12,1;36,8;84;31,8
100;24 822;30 425;;4;48.870120;2.348667;1314;ILE-DE-FRANCE;75102;20796;75;851;Paris;10706072;Paris;1;53;1 412;-18,40%;De 20 à 30 000 entrées;non classé;;commune-centre;75;0;0;68,5;9,7;21,8;0;1;2,1
204;32 930;33 854;PARIS CINE;78,2;48.870455;2.35466;1392;ILE-DE-FRANCE;75110;91770;75;851;Paris;10706072;Paris;2;50;2 717;-2,70%;De 30 à 40 000 entrées;catégorie A;RDJPPR;commune-centre;221;88;2;56,7;17,5;13,2;12,6;202;90,5
139;62 435;59 023;BRADY SPECTACLES;84,7;48.871771;2.355398;1393;ILE-DE-FRANCE;75110;91770;75;851;Paris;10706072;Paris;2;53;4 923;6%;De 50 à 80 000 entrées;catégorie A;RDJPPR;commune-centre;353;117;5;49,3;15,3;21,5;13,9;270;85,4
3894;3 077 064;3 277 773;UGC;48,4;48.861424;2.345829;1681;ILE-DE-FRANCE;75101;16545;75;851;Paris;10706072;Paris;27;53;69 722;-6,10%;3 millions d'entrées ou plus;non classé;;commune-centre;496;419;409;35,2;42,6;17,7;4,5;269;43,1
238;82 588;87 952;CARLOTTA CINEMAS;85,3;48.858689;2.353591;1791;ILE-DE-FRANCE;75104;27146;75;851;Paris;10706072;Paris;2;51;3 965;-6,10%;De 80 à 100 000 entrées;catégorie A;RDPR;commune-centre;302;136;38;43,5;14,5;25,4;16,7;216;87,6
637;128 323;129 896;LES ECRANS DE PARIS;55,1;48.858204;2.282104;2251;ILE-DE-FRANCE;75116;165487;75;851;Paris;10706072;Paris;3;53;5 227;-1,20%;De 100 à 150 000 entrées;non classé;;commune-centre;220;114;56;50;29,7;14,9;5,4;127;55,2
137;21 308;22 202;CINEMA MAC MAHON;88,5;48.875715;2.294655;2543;ILE-DE-FRANCE;75117;168533;75;851;Paris;10706072;Paris;1;49;816;-4,00%;De 20 à 30 000 entrées;catégorie A;PR;commune-centre;132;14;1;39,1;48,9;11,9;0;108;87
501;195 997;195 854;MULTICINE;89,3;48.87561;2.32791;2982;ILE-DE-FRANCE;75109;59408;75;851;Paris;10706072;Paris;5;53;9 013;0%;De 150 à 200 000 entrées;catégorie A;;commune-centre;117;96;91;66,6;5;19;9,3;102;88,8
478;165 924;174 293;ARP;94,9;48.884303;2.326888;3211;ILE-DE-FRANCE;75117;168533;75;851;Paris;10706072;Paris;3;53;5 924;-4,80%;De 150 à 200 000 entrées;catégorie A;RDJP;commune-centre;178;82;65;45;15,6;26,3;13,1;142;98,1
2139;748 825;742 799;Les cinemas GAUMONT-PATHE;30,8;48.883938;2.328034;3222;ILE-DE-FRANCE;75118;197580;75;851;Paris;10706072;Paris;12;53;25 150;1%;De 700 000 à 1 million d'entrées;non classé;;commune-centre;240;198;192;38,1;44,9;15,3;1,6;74;29,5
172;46 551;48 444;STUDIO 28;76,1;48.886142;2.335342;3741;ILE-DE-FRANCE;75118;197580;75;851;Paris;10706072;Paris;1;50;1 349;-3,90%;De 40 à 50 000 entrées;catégorie A;;commune-centre;189;150;2;57,8;12,9;24;5,3;139;79
400;250 798;325 706;SOCIETE D'ECONOMIE MIXTE LES PRODUCTIONS LA GEODE;0;48.896314;2.384409;4571;ILE-DE-FRANCE;75119;185654;75;851;Paris;10706072;Paris;1;48;3 006;-23,00%;De 200 à 300 000 entrées;non classé;;commune-centre;0;0;0;0;0;0;0;0;0
287;11 732;6 289;ETABLISSEMENT PUBLIC DU PARC ET DE LA GRANDE HALLE  DE LA VILLET;100;48.888947;2.392436;4713;ILE-DE-FRANCE;75119;185654;75;851;Paris;10706072;Paris;1;5;24;87%;De 10 à 20 000 entrées;non classé;;commune-centre;24;0;0;29,5;39,1;17,5;13,9;24;100
992;422 724;460 254;MK2;81,8;48.885073;2.371493;4731;ILE-DE-FRANCE;75119;185654;75;851;Paris;10706072;Paris;6;53;12 546;-8,20%;De 300 à 450 000 entrées;non classé;;commune-centre;221;161;114;51,9;17;19,2;11,9;166;85,3
1238;360 120;352 243;MK2;58,7;48.864763;2.399555;5691;ILE-DE-FRANCE;75120;195556;75;851;Paris;10706072;Paris;6;53;12 251;2%;De 300 à 450 000 entrées;non classé;;commune-centre;243;138;110;45,2;31,8;18,1;4,8;161;63,4
430;183 550;100 728;MK2;93,7;48.853157;2.370719;5841;ILE-DE-FRANCE;75111;149834;75;851;Paris;10706072;Paris;3;53;6 281;82%;De 150 à 200 000 entrées;non classé;;commune-centre;92;77;53;62,2;15,1;12,4;10,3;84;94,1
